TNFRSF9,,,,CENPH,,,,SORL1,JMJD6,,,ZFAND2A,PVRIG,,,GPR132,CCL4L2
SKA2,,,,ASF1B,,,,ADD3,RGCC,,,LAYN,AGTRAP,,,LYAR,PRDM1
UBE2F,,,,CLSPN,,,,DBNL,MTHFD2,,,NAB1,ARHGAP25,,,GADD45B,AHI1
SAE1,,,,CDCA8,,,,MGAT4A,TSC22D2,,,RALA,PARP9,,,HSPA1A,PLCB2
TRAFD1,,,,GGH,,,,GIT2,REL,,,HSPB1,C14orf159,,,S100A11,EVL
HLA-DQA1,,,,KIFC1,,,,PRMT2,PLK3,,,PDE3B,RPS6KA1,,,TMBIM1,LPIN1
EPSTI1,,,,TYMS,,,,C19orf66,VPS37B,,,ITPRIP,PKN1,,,DNAJB9,PDE4D
CTLA4,,,,FEN1,,,,COX7A2L,SELK,,,PHLDA1,CSK,,,MTRNR2L1,RBPJ
GTF3C6,,,,KIF2C,,,,RGS10,HSPH1,,,ETV1,TBCD,,,PBX4,TCIRG1
IFI27L2,,,,KIAA0101,,,,DAD1,SLC38A2,,,HSPD1,HMOX2,,,TCF7,OXNAD1
HLA-DMA,,,,PLK1,,,,PTPN4,OAT,,,ZEB2,EPSTI1,,,MGAT4A,CBLB
PDIA6,,,,SPAG5,,,,XAF1,RASGEF1B,,,METRNL,CCND3,,,SOD2,HNRNPLL
CD2BP2,,,,ORC6,,,,PVRIG,YPEL5,,,CTLA4,KLRG1,,,CSRNP1,DUSP4
BATF,,,,WDR34,,,,SLC44A2,SERTAD1,,,FOSL2,TES,,,BIRC2,NAP1L4
RANBP1,,,,KIF23,,,,PIM1,ZNF331,,,TNFSF9,SASH3,,,CDC42EP3,TXNIP
MRPL51,,,,TOP2A,,,,TMBIM4,GSPT1,,,CADM1,IDH2,,,CD55,RGS1
OAS3,,,,RFC3,,,,CMC1,HNRNPLL,,,AHSA1,RP4-583P15.14,,,MT2A,CCL4L1
CDC123,,,,TIMELESS,,,,TXNIP,CRTAM,,,ZBTB1,SELPLG,,,VIM,RAP1GDS1
PCNA,,,,AURKB,,,,ATM,TGIF1,,,BPGM,SLAMF7,,,XCL2,TIGIT
HSD17B10,,,,NUF2,,,,PHB2,EIF4A3,,,CACYBP,RCSD1,,,ZC3H12A,PARK7
CLTA,,,,NCAPG,,,,COA1,ICOS,,,GSPT1,MX1,,,HSPA1B,CCL4
VAMP5,,,,MLF1IP,,,,SIT1,MPZL3,,,REL,CD52,,,STIP1,IKZF3
FKBP1A,,,,BRCA1,,,,HERC3,BTG3,,,ICOS,SP110,,,TUBA1C,SH2D1A
NDUFB3,,,,SGOL1,,,,PSD4,HBP1,,,ENTPD1,ARHGEF3,,,IL21R,ATXN1
NOP10,,,,CKAP2L,,,,AES,TMEM2,,,HBP1,SLAMF6,,,TTC39C,ITK
SHFM1,,,,CDK1,,,,POLD4,NR4A2,,,TBC1D4,LIME1,,,EIF4A3,
COX5A,,,,MCM4,,,,C20orf112,NASP,,,NEU1,CXCR3,,,LGALS1,
TIGIT,,,,TROAP,,,,C2orf68,NFE2L2,,,CCDC64,RNF166,,,PPP3CA,
BLOC1S1,,,,ASPM,,,,GMFG,FAM46C,,,PMAIP1,OAS2,,,MOB4,
ANXA5,,,,HMGB3,,,,OXNAD1,FOSL2,,,AMD1,TPST2,,,DOK2,
PAM,,,,MCM2,,,,GPSM3,ETF1,,,RASGEF1B,IL16,,,IFNG,
JAKMIP1,,,,NCAPG2,,,,ESYT1,HSPD1,,,GTF2B,CD48,,,CCT2,
HLA-DRA,,,,CDKN3,,,,TBC1D10C,ZEB2,,,SERTAD1,DENND2D,,,RILPL2,
SNRPD1,,,,CASC5,,,,IRF9,AMD1,,,NAMPT,PIM1,,,C14orf166,
GZMB,,,,TCF19,,,,ERP29,SDCBP,,,CHORDC1,,,,CAST,
COPZ1,,,,KIF11,,,,TMEM230,MYADM,,,NFE2L2,,,,YWHAQ,
CD63,,,,HIRIP3,,,,ARHGAP25,TUBB4B,,,DDX3Y,,,,PPP2R3C,
CARD16,,,,BRCA2,,,,DEF6,PAF1,,,MORF4L2,,,,CHMP1B,
FIBP,,,,CCNB1,,,,GNG5,FAM129A,,,BIRC3,,,,RGCC,
ATP5J,,,,APOBEC3B,,,,TTC39C,IFRD1,,,BTG3,,,,REL,
GSTO1,,,,MKI67,,,,BIN2,BIRC3,,,PER1,,,,STOM,
TOX,,,,TPX2,,,,MFNG,GTPBP1,,,CRTAM,,,,KPNA2,
TXN2,,,,CCNF,,,,SRP9,HEXIM1,,,AFAP1L2,,,,PTP4A1,
C17orf49,,,,NCAPH,,,,PTEN,NEU1,,,EIF4A3,,,,RAB8B,
ADORA2A,,,,ECT2,,,,SYTL1,SYAP1,,,RHBDD2,,,,SC5D,
CHST12,,,,ATAD5,,,,PRKACB,ZC3H12A,,,HSPE1,,,,BCAS2,
TRIM59,,,,STMN1,,,,C5orf56,IL21R,,,JMJD6,,,,CDK17,
TMPO,,,,UBE2T,,,,MYO1F,RGPD6,,,DEDD2,,,,INSIG1,
PSMB2,,,,FANCI,,,,HMOX2,IDI1,,,IFRD1,,,,NEU1,
HELLS,,,,PRC1,,,,NUCB2,NR4A1,,,CXCL13,,,,ABLIM1,
SNRPE,,,,RNASEH2A,,,,NME1-NME2,TUBA4A,,,B3GNT2,,,,PPP2CA,
NDUFAB1,,,,BUB1B,,,,UBE2L6,RNF19A,,,IL21R,,,,SDCBP,
SQRDL,,,,CKS1B,,,,VPS29,NR3C1,,,HSPA4,,,,CHP1,
SERPINB1,,,,CENPM,,,,SNX17,IL6ST,,,BHLHE40,,,,CACYBP,
MX1,,,,SMC2,,,,ST6GAL1,RGS2,,,SDCBP,,,,SAMD3,
MEA1,,,,CCNA2,,,,CSK,ZBTB1,,,ATP1B3,,,,MAP1LC3B2,
GPR56,,,,BUB1,,,,RBL2,RANBP2,,,CHD1,,,,FOS,
NUTF2,,,,CENPN,,,,PPIE,MAT2A,,,BANP,,,,SLFN11,
BST2,,,,AURKA,,,,STX16,CHMP1B,,,ZC3H12A,,,,TAGLN2,
FUT8,,,,MAD2L1,,,,PILRB,DNTTIP2,,,EIF5,,,,DDX21,
DUT,,,,CDCA7,,,,LENG8,BCAS2,,,LRMP,,,,TMEM50A,
GNG5,,,,CHTF18,,,,C11orf31,SKIL,,,CD55,,,,SLMO2,
ATP6V1E1,,,,CHEK1,,,,ABRACL,TNFRSF1B,,,ZNF331,,,,CD5,
AP2S1,,,,CENPF,,,,ANP32B,POLR3E,,,POLR3E,,,,SCP2,
CALM3,,,,LIG1,,,,TPST2,CSRNP1,,,TUBB4B,,,,CD28,
MRPS34,,,,KNTC1,,,,ATP5A1,LYST,,,SLC38A2,,,,RAB7L1,
CD27,,,,RPL39L,,,,NFATC3,GOLGB1,,,DUSP4,,,,ATP2B1,
TMEM179B,,,,POLE,,,,ARHGEF3,EIF5,,,CNIH1,,,,CD52,
SRI,,,,POLD1,,,,GLIPR2,PDE4B,,,TMPO,,,,CAMLG,
PSMB3,,,,RFC5,,,,CKLF,JUND,,,STIP1,,,,PLP2,
IFI6,,,,MXD3,,,,OSTF1,PER1,,,RGS2,,,,TOR1AIP2,
SIT1,,,,RFC4,,,,SNX6,DNAJA1,,,GLS,,,,MAP2K3,
PON2,,,,RACGAP1,,,,LAMTOR4,TFRC,,,CCT2,,,,CAMK4,
PSMA4,,,,LRR1,,,,ERAP1,SIK1,,,SMAP2,,,,EGR1,
CYC1,,,,C19orf48,,,,PSMB10,PTPN22,,,CD82,,,,MAPRE1,
PYCARD,,,,PAICS,,,,OCIAD2,BRD2,,,DNAJA1,,,,P4HB,
AK2,,,,WDR76,,,,C19orf60,POLR2A,,,KIR2DL4,,,,IFITM3,
BANF1,,,,CENPE,,,,TCF7,IVNS1ABP,,,VPS37B,,,,DDX39A,
OAS2,,,,NUDT1,,,,C17orf62,PPP1R15B,,,HSPA1A,,,,H2AFV,
PSMA2,,,,FBXO5,,,,PUF60,H2AFZ,,,NASP,,,,KDM6B,
SNRPC,,,,HAUS8,,,,ARRDC3,SMAP2,,,HEXIM1,,,,RHOG,
TALDO1,,,,SHMT1,,,,LY6E,USP36,,,PON2,,,,TRAM1,
PARP1,,,,CDK2,,,,DRAP1,ZFAND5,,,NOP56,,,,HSPB1,
CTSB,,,,FANCG,,,,EIF3M,AKIRIN1,,,FXR1,,,,PSMC6,
FDPS,,,,SNRNP25,,,,SELPLG,CNOT6L,,,STAT5A,,,,ELOVL5,
CD82,,,,MCM7,,,,SYNRG,DUSP10,,,PTP4A1,,,,GNG2,
NDUFA12,,,,POLA2,,,,LY9,SYTL3,,,KDM2A,,,,CASP4,
IFNG,,,,PCNA,,,,CBX3,AHSA1,,,ARID5B,,,,FLNA,
ARPC5L,,,,NRM,,,,AIP,DENND4A,,,NDFIP1,,,,C10orf54,
TMX1,,,,TMEM106C,,,,SCAMP2,MCL1,,,PAM,,,,FOSL2,
RAB27A,,,,GMNN,,,,CD48,ITM2A,,,DDIT3,,,,NDUFS5,
ETFB,,,,NDC80,,,,USP33,PMAIP1,,,MYO7A,,,,CCT6A,
PTPN6,,,,DTYMK,,,,RER1,ALG13,,,GOLIM4,,,,OAT,
DBI,,,,NCAPD2,,,,ATP5F1,GLS,,,TRPS1,,,,BAZ1A,
PRDX5,,,,DUT,,,,NLRP1,MAP1LC3B2,,,HBS1L,,,,ATP6V0E1,
ANAPC11,,,,TEX30,,,,SNRPA1,RNF125,,,NFAT5,,,,EIF5A,
CHMP5,,,,HIST1H4C,,,,LCP2,PTP4A1,,,WHSC1L1,,,,MRPS6,
FPGS,,,,RRM1,,,,IFI6,PPP1R10,,,AZIN1,,,,JUN,
DCTN3,,,,POLD3,,,,MYL12A,ATXN1,,,PTPN11,,,,UQCRFS1,
IRF2,,,,AHCY,,,,,CHD1,,,PAF1,,,,PSMA2,
TWF2,,,,POP7,,,,,RBPJ,,,MOB4,,,,MKLN1,
PSMG2,,,,CDCA7L,,,,,DNAJB6,,,SEMA4A,,,,DYNLL1,
PSMC3,,,,MCM3,,,,,RGPD5,,,GATA3,,,,TIPARP,
PGAM1,,,,ACOT7,,,,,GGA2,,,NDEL1,,,,HSPA5,
NDUFAF3,,,,NCAPD3,,,,,EZR,,,SAMSN1,,,,TUBB4B,
ERH,,,,FANCD2,,,,,EMD,,,GPR56,,,,SQSTM1,
IDH2,,,,DPYSL2,,,,,GPR65,,,MTHFD2,,,,RNF138,
VOPP1,,,,CDK4,,,,,HLA-DRB5,,,UBE2F,,,,DEDD2,
GTF2A2,,,,PHF19,,,,,TUBA1B,,,TCP1,,,,ILF2,
C11orf48,,,,PRIM1,,,,,STARD7,,,NOP58,,,,ARL4C,
C7orf73,,,,KIF22,,,,,MKNK2,,,CSRNP1,,,,PDCL3,
CHMP2A,,,,CDCA4,,,,,DDX3Y,,,SMC4,,,,CCT4,
ATP5G3,,,,RFC2,,,,,HLA-DRA,,,GABARAPL1,,,,TUBA1A,
DFNB31,,,,NME1,,,,,DYNLL1,,,SLC7A6,,,,TUBB,
PSMC1,,,,LSM5,,,,,SQSTM1,,,FAM177A1,,,,DNTTIP2,
SNRPF,,,,LMNB1,,,,,ELF1,,,VEZT,,,,PIK3R1,
PSMD4,,,,FARSB,,,,,NDEL1,,,IDI1,,,,EMD,
TMEM140,,,,HIST1H1D,,,,,RAB1A,,,TP53INP1,,,,ATP5F1,
TSTA3,,,,UNG,,,,,HSPE1,,,PRNP,,,,CTSW,
COX8A,,,,HADH,,,,,PLIN2,,,IRF4,,,,PLIN2,
NAB1,,,,DDX11,,,,,NXF1,,,STAT5B,,,,S100A6,
BAK1,,,,TUBG1,,,,,RGS1,,,YPEL5,,,,ITM2C,
DECR1,,,,DCTPP1,,,,,CCNH,,,NGRN,,,,CCT8,
VDAC1,,,,TIMM10,,,,,BCL2L11,,,CD200R1,,,,SELPLG,
SMC3,,,,POLD2,,,,,DDX3X,,,RNF138,,,,HINT1,
PMF1,,,,KIF18A,,,,,HERPUD1,,,UBE2B,,,,PRDX2,
NDUFC2,,,,MRPL17,,,,,NAA50,,,IGFLR1,,,,OCIAD2,
EZH2,,,,NCAPH2,,,,,WSB1,,,DUSP10,,,,ST3GAL1,
RPS6KA1,,,,SLC43A3,,,,,SLA,,,CNOT6L,,,,BIRC3,
PLSCR1,,,,GGCT,,,,,CDK17,,,NAA50,,,,FAM49B,
SARNP,,,,NUSAP1,,,,,MED29,,,MSI2,,,,ELMSAN1,
STOML2,,,,RBBP8,,,,,MORF4L2,,,GOLGA4,,,,TMED10,
SF3B14,,,,HAUS4,,,,,RUNX3,,,CEBPZ,,,,ITGB1,
EIF6,,,,ACAT2,,,,,DEDD2,,,ARL8B,,,,NFE2L2,
NUDT5,,,,MMS22L,,,,,PRDM2,,,ZFAND5,,,,GBP2,
RNF181,,,,CENPK,,,,,SRRT,,,MAT2A,,,,HSPE1,
SDHC,,,,ATAD2,,,,,HNRNPUL1,,,RIC8A,,,,BNIP2,
LAG3,,,,HAUS7,,,,,MAP1LC3B,,,RP11-345J4.5,,,,ACTR3,
C12orf75,,,,DNAJC9,,,,,HLA-DRB1,,,FCRL3,,,,UXT,
CNIH1,,,,H2AFX,,,,,GPBP1,,,NDFIP2,,,,KIAA1683,
USB1,,,,PRDX4,,,,,NUP98,,,GTF3C1,,,,CKS2,
GALM,,,,TFDP1,,,,,STAT3,,,TUBA1B,,,,ADIPOR1,
NUDT21,,,,ANAPC15,,,,,DDX27,,,EZH2,,,,NAMPT,
GIMAP6,,,,MSH2,,,,,KIAA1191,,,SYTL3,,,,B4GALT1,
PTPRJ,,,,PAFAH1B3,,,,,IQGAP2,,,ID3,,,,PSMB1,
CTSC,,,,H2AFV,,,,,EIF1AX,,,LAPTM4A,,,,MAP1LC3B,
SNRNP40,,,,SSRP1,,,,,TUBA1A,,,SYAP1,,,,PLK3,
UBE2L3,,,,USP1,,,,,CYCS,,,RBM14,,,,AHSA1,
NUDT22,,,,VRK1,,,,,SRSF7,,,CSNK1D,,,,HSPD1,
TMEM258,,,,RPA3,,,,,GPCPD1,,,BATF,,,,NR4A3,
SMC4,,,,TACC3,,,,,ATF4,,,NUP98,,,,CD69,
CDK2AP2,,,,FN3KRP,,,,,SRSF2,,,ATHL1,,,,HN1,
SFT2D1,,,,MAGOHB,,,,,ANXA5,,,SQSTM1,,,,BZW1,
MDH1,,,,MSH6,,,,,DUSP2,,,TMEM2,,,,SLC2A3,
EIF4E,,,,ITGB3BP,,,,,OASL,,,HSPA1B,,,,MXD1,
MCTP2,,,,MCM6,,,,,HERPUD2,,,ATF4,,,,G3BP2,
UQCRC1,,,,IFRD2,,,,,SFPQ,,,SYNGR2,,,,S100A4,
ABI3,,,,PDCD5,,,,,CSNK1D,,,NR3C1,,,,DENND4A,
ATP5I,,,,RAD51C,,,,,ARID5B,,,EMD,,,,DNAJA1,
EED,,,,HAUS5,,,,,MAP2K3,,,TNIP3,,,,NDEL1,
ITGAE,,,,WHSC1,,,,,HLA-DQB1,,,BNIP3L,,,,CTSS,
POLR2G,,,,TTF2,,,,,PDE4D,,,STAT3,,,,TUBA1B,
GBP4,,,,ICMT,,,,,SPTAN1,,,NELL2,,,,UQCRQ,
MMADHC,,,,MT1E,,,,,,,,PMF1,,,,P2RY10,
NELFCD,,,,NABP2,,,,,,,,TNFRSF1B,,,,USP3,
TXLNA,,,,MRPL14,,,,,,,,MCM5,,,,RHOF,
DCTN2,,,,CCDC167,,,,,,,,SNAP23,,,,HIST2H2AA4,
TRAF5,,,,ACYP1,,,,,,,,FYTTD1,,,,DHRS7,
SLX1B,,,,THOC6,,,,,,,,DHX15,,,,PAFAH1B2,
PSMD8,,,,MZT2A,,,,,,,,GPBP1,,,,VDAC2,
GBP5,,,,EBNA1BP2,,,,,,,,FBXW11,,,,RAN,
TOMM5,,,,IMPDH2,,,,,,,,DNAJB6,,,,IDI1,
TMCO1,,,,ACTL6A,,,,,,,,CRKL,,,,CD164,
ATP5C1,,,,HAUS1,,,,,,,,CCT6A,,,,NDUFB8,
NDUFB7,,,,GLO1,,,,,,,,FAS,,,,LMAN2,
APOBEC3D,,,,MRPL27,,,,,,,,ZC3H7A,,,,ZNF410,
HLA-DRB5,,,,MYCBP,,,,,,,,RAB1A,,,,PDE4B,
SEC11A,,,,POLR2H,,,,,,,,TRIM26,,,,BIN2,
PLEKHJ1,,,,RFWD3,,,,,,,,CDK6,,,,TRAF1,
MCM7,,,,AKR7A2,,,,,,,,SOD1,,,,SKIL,
PPM1G,,,,MRPL15,,,,,,,,GGA2,,,,EHD1,
GBP1,,,,HELLS,,,,,,,,C5orf15,,,,PRDX1,
PRF1,,,,FH,,,,,,,,NFKBIA,,,,DNAJB6,
GYG1,,,,YEATS4,,,,,,,,DHX9,,,,RAP2B,
BRK1,,,,HPRT1,,,,,,,,PRDM2,,,,SURF4,
SEC11C,,,,UBR7,,,,,,,,SLC3A2,,,,PSMD6,
NDUFA9,,,,TRAP1,,,,,,,,HSP90AB1,,,,SERP1,
PDCD6,,,,MCM5,,,,,,,,SELK,,,,SELT,
OSTC,,,,SHMT2,,,,,,,,CLK4,,,,MYADM,
HLA-DQB1,,,,NUP37,,,,,,,,PPP1R15B,,,,SPOCK2,
SNX17,,,,SAE1,,,,,,,,TUBA1A,,,,SPCS3,
PEF1,,,,EXOSC8,,,,,,,,PAPOLA,,,,TLE3,
ATP5J2,,,,LSM3,,,,,,,,TMX4,,,,PRELID1,
SYT11,,,,CPSF3,,,,,,,,GALNT2,,,,EIF1AX,
CLNS1A,,,,MRPL24,,,,,,,,CCDC141,,,,CDC42SE1,
MPG,,,,HIST1H1C,,,,,,,,SAR1B,,,,CD47,
HK1,,,,LAS1L,,,,,,,,GTPBP1,,,,AMD1,
FAM195B,,,,NUP85,,,,,,,,HERPUD1,,,,UBE2D2,
PRMT1,,,,COMMD4,,,,,,,,USP9X,,,,ARL6IP5,
CASP3,,,,LSM4,,,,,,,,RBM19,,,,COX6A1,
WDR83OS,,,,POP4,,,,,,,,ZNF410,,,,UBE2N,
DTX3L,,,,ATIC,,,,,,,,H2AFZ,,,,NUDC,
C9orf16,,,,MZT2B,,,,,,,,ARPP19,,,,ARHGAP26,
PPP1CC,,,,EEF1E1,,,,,,,,RUNX3,,,,CLIC1,
ROMO1,,,,ARHGAP11B,,,,,,,,IL6ST,,,,STAT4,
YARS,,,,CTPS1,,,,,,,,EIF4E,,,,DDX18,
NHP2,,,,CD320,,,,,,,,SKIL,,,,PPP1R15B,
EID1,,,,TXNDC17,,,,,,,,ETF1,,,,MYL12B,
SF3B5,,,,SCCPDH,,,,,,,,USP16,,,,SIK1,
ITGB1BP1,,,,MRPS23,,,,,,,,PPP2CA,,,,RHOH,
PHLDA1,,,,RANBP1,,,,,,,,ATXN2L,,,,TBCD,
MDH2,,,,MRPL12,,,,,,,,PNRC1,,,,CYCS,
ACTR1A,,,,C1orf123,,,,,,,,ELP2,,,,MOB1A,
TRAPPC1,,,,SMS,,,,,,,,POLR2A,,,,BHLHE40,
CCT8,,,,IPO5,,,,,,,,PLIN2,,,,EIF3M,
FDFT1,,,,MRPL37,,,,,,,,AKIRIN1,,,,PPP1R15A,
DCP2,,,,ELP6,,,,,,,,TANK,,,,STAT1,
ARPC5,,,,PMVK,,,,,,,,PRMT1,,,,LDHA,
SLX1A,,,,RUVBL2,,,,,,,,HNRNPLL,,,,MORF4L2,
FCRL3,,,,NUP107,,,,,,,,SNRPG,,,,CCT3,
AKR1B1,,,,MRPS11,,,,,,,,CREBZF,,,,RAB5C,
OASL,,,,SNRPE,,,,,,,,CPSF6,,,,ATP6V1G1,
ZC3H7A,,,,MRPS26,,,,,,,,CCT4,,,,CHORDC1,
AL353354.2,,,,PGD,,,,,,,,ITGB1,,,,POLR3E,
CBX5,,,,STRA13,,,,,,,,BRD2,,,,HSP90AB1,
LAMP2,,,,UQCC2,,,,,,,,TOMM5,,,,TSC22D2,
H2AFY,,,,LSMD1,,,,,,,,SYT11,,,,SLC25A5,
GSDMD,,,,CIAPIN1,,,,,,,,OSBPL3,,,,PBXIP1,
CDK6,,,,BOLA3,,,,,,,,TFRC,,,,RALGAPA1,
THYN1,,,,BRIX1,,,,,,,,RSL1D1,,,,MPZL3,
RAB11A,,,,CKS2,,,,,,,,UTY,,,,DIAPH1,
CASP1,,,,MRPL52,,,,,,,,JTB,,,,CDC42SE2,
SRGAP2,,,,KIF20B,,,,,,,,CERKL,,,,PRDX6,
LAMTOR1,,,,BZW2,,,,,,,,HIPK1,,,,SERINC3,
CXCR3,,,,SNRPD1,,,,,,,,TERF2IP,,,,DUSP10,
COPS6,,,,TUBGCP3,,,,,,,,AKIRIN2,,,,LPXN,
FIS1,,,,GUCD1,,,,,,,,PRDX1,,,,PRKACB,
PSMA5,,,,HIST1H1E,,,,,,,,TTN,,,,NRBP1,
GORASP2,,,,CHCHD1,,,,,,,,RAF1,,,,ARF4,
EIF2S1,,,,TIMM8B,,,,,,,,BTG1,,,,GHITM,
S100PBP,,,,AAAS,,,,,,,,HSPA9,,,,PITHD1,
M6PR,,,,MRPL11,,,,,,,,NR4A2,,,,LITAF,
NDUFS7,,,,SLBP,,,,,,,,CCSER2,,,,UBE2B,
KDELR2,,,,THOC3,,,,,,,,SMARCA5,,,,PPP1CB,
HSPB1,,,,UTP11L,,,,,,,,SF3B4,,,,GPCPD1,
SDHD,,,,MZT1,,,,,,,,YTHDF3,,,,SUMO1,
ETFA,,,,SIGMAR1,,,,,,,,RP11-166B2.1,,,,CANX,
CHFR,,,,H2AFY,,,,,,,,COPA,,,,SELK,
AURKAIP1,,,,AARS,,,,,,,,PPP1R2,,,,PRKAR1A,
AIP,,,,BARD1,,,,,,,,KIF5B,,,,TRABD,
SNRPD3,,,,TMEM14C,,,,,,,,PDE4D,,,,UBE2D3,
SNX5,,,,MTHFD1,,,,,,,,SFPQ,,,,UBBP4,
SYNGR2,,,,ACAD9,,,,,,,,RAB27A,,,,TROVE2,
RBBP7,,,,GMPS,,,,,,,,GRSF1,,,,COX6C,
GBP2,,,,MPDU1,,,,,,,,SYNCRIP,,,,CIB1,
UQCRFS1,,,,TIMM13,,,,,,,,CDKN1B,,,,HCST,
RPS27L,,,,POLR3K,,,,,,,,GPX4,,,,PLEKHB2,
DYNLL1,,,,PTPLAD1,,,,,,,,ELF1,,,,C16orf54,
NDUFS8,,,,GADD45GIP1,,,,,,,,RGPD5,,,,TMED2,
LGALS1,,,,LRRC59,,,,,,,,NUDC,,,,XRCC5,
ATP5H,,,,VBP1,,,,,,,,YTHDF2,,,,MVP,
YIPF3,,,,TUBB,,,,,,,,CCT3,,,,RNF125,
SDHB,,,,SIVA1,,,,,,,,TRAT1,,,,CNN2,
CAPRIN1,,,,NHP2,,,,,,,,MYADM,,,,POMP,
IKZF3,,,,EBP,,,,,,,,RAPGEF1,,,,AKIRIN1,
UBE2L6,,,,PSMB5,,,,,,,,WSB1,,,,IL2RB,
TMED9,,,,SMC1A,,,,,,,,ASXL2,,,,TCP1,
TAF9,,,,MLH1,,,,,,,,FAM133B,,,,SLC9A3R1,
PDAP1,,,,PCNT,,,,,,,,HIF1A,,,,MKNK2,
PSMB10,,,,NDUFAB1,,,,,,,,PSMC4,,,,RAB7A,
LAP3,,,,PPIH,,,,,,,,SAFB,,,,ATP1A1,
PUF60,,,,RARS,,,,,,,,HMGB2,,,,PPP1CA,
DGUOK,,,,ADSL,,,,,,,,NR1H2,,,,VAPA,
TEX264,,,,CHID1,,,,,,,,PIGT,,,,TAX1BP1,
ARF5,,,,DPM2,,,,,,,,DCXR,,,,SMARCA5,
MDM2,,,,TMPO,,,,,,,,ANP32E,,,,APOL2,
NAA38,,,,PSMC3,,,,,,,,HAVCR2,,,,ANP32E,
LASP1,,,,MAD2L2,,,,,,,,PITPNB,,,,RBM3,
ATP5A1,,,,HAT1,,,,,,,,JUND,,,,ENO1,
HLA-DPA1,,,,IPO9,,,,,,,,SPTAN1,,,,TPM3,
ELOVL1,,,,MED30,,,,,,,,STAG2,,,,WDR1,
VAMP8,,,,PNKD,,,,,,,,STARD7,,,,VMP1,
ITM2A,,,,ATP5G1,,,,,,,,MRFAP1,,,,YWHAE,
TSPO,,,,HSPA14,,,,,,,,ZBTB38,,,,IFITM1,
